,categorie,motAnglais,traductionGoogle,traductionMaison,deuxiemeTraduction,troisiemeTraduction,quatriemeTraduction,francaisAsterisque,francaisAsterisque2,anglaisAsterisque,initiales,notes
1,macroeconomics,aggregate demand,demande globale,NA,NA,NA,NA,NA,NA,NA,AFC,
2,macroeconomics,aggregate supply,l'offre globale,offre globale,NA,NA,NA,NA,NA,NA,AFC,
3,macroeconomics,business cycle,cycle économique,NA,NA,NA,NA,cycle* économique*,NA,business cycle*,AFC,
4,macroeconomics,demand shock,choc de la demande,choc de demande,choc sur la demande,NA,NA,choc* de demande,choc* sur la demande,demand shock*,AFC,
5,macroeconomics,demand side,côté de la demande,NA,NA,NA,NA,NA,NA,NA,AFC,
6,macroeconomics,demand-side,côté de la demande,axé sur la demande,politique de la demande,NA,NA,axé* sur la demande,politique* de la demande,NA,AFC,
7,macroeconomics,econom,économ,NA,NA,NA,NA,économ*,NA,econom*,AFC,
8,macroeconomics,employment rate,taux d'emploi,NA,NA,NA,NA,NA,NA,NA,AFC,
9,macroeconomics,full employment,le plein emploi,plein emploi,plein-emploi,NA,NA,NA,NA,NA,AFC,
10,macroeconomics,food price,prix de la nourriture,prix des denrées,prix des aliments,NA,NA,NA,NA,food price*,AFC,
11,macroeconomics,industr,industrie,industr,NA,NA,NA,industr*,NA,industr*,AFC,
12,macroeconomics,keynes,Keynes,keynes,NA,NA,NA,NA,NA,NA,AFC,
13,macroeconomics,bank of canada,banque du canada,NA,NA,NA,NA,NA,NA,NA,AFC,
14,macroeconomics,bank of england,banque d'Angleterre,banque d'angleterre,NA,NA,NA,NA,NA,NA,AFC,
15,macroeconomics,bear market,marché baissier,NA,NA,NA,NA,marché* baissier*,NA,bear market*,AFC,
16,macroeconomics,bretton woods,Bretton Woods,bretton woods,bretton-woods,NA,NA,NA,NA,NA,AFC,
17,macroeconomics,budget,budget,NA,budgétaire,NA,NA,budg*,NA,budget*,AFC,
18,macroeconomics,bull market,marché haussier,NA,NA,NA,NA,marché* haussier*,NA,bull market*,AFC,
19,macroeconomics,changing demographic,évolution démographique,NA,NA,NA,NA,évolution* démographique*,NA,changing demographic*,AFC,
20,macroeconomics,coinage,monnaie,NA,NA,NA,NA,monnaie*,NA,coinage*,AFC,
21,macroeconomics,debt,dette,NA,NA,NA,NA,debt*,NA,dette*,AFC,
